DBN,School Name,Supportive Environment Rating,Interesting and challenging curriculum,Effective teaching and learning,Effective school assessment,Clear communication - high expectations,Teacher collaboration,"Safety, inclusivity, social-emotional growth",Resource allocation and management,"Identifying, tracking, and meeting goals",Thoughtful teacher development and evaluation,School decision evaluation and adjustment,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Principal experience at this school,Percent of teachers with 3+ years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Strong Family-Community Ties Score,Trust Score,Borough,District,Level 1 %,Level 2 %,Level 3 %,Level 4 %,Level 3+ %,% Tested
09X413,Bronx High School for Medical Science,3,3,2,2,3,2,3,3,3,3,3,0.24,0.213,0.1,0.9079999999999999,0.213,0.7929999999999999,0.073,0.287,0.627,0.013000000000000001,16.0,0.758,0.9309999999999999,0.19899999999999998,0.963,3.47,3.69,2.85,3.02,3.92,Bronx,9,21.01449203,34.05797195,23.18840599,21.73913002,44.92753601,0.92
09X443,The Family School,3,4,3,4,4,4,4,4,3,4,3,0.33,0.295,0.077,0.961,0.297,0.9109999999999999,0.044000000000000004,0.27399999999999997,0.67,0.006,2.9,0.8220000000000001,0.9129999999999999,0.375,0.9670000000000001,4.67,4.08,4.37,3.81,4.36,Bronx,9,27.18446541,41.74757385,24.75728226,6.310679436,31.06796074,0.39768339768339767
09X449,Grant Avenue Elementary School,4,3,3,3,4,3,4,4,4,4,3,0.256,0.32899999999999996,0.16899999999999998,0.9159999999999999,0.237,0.841,0.046,0.273,0.643,0.013999999999999999,9.0,0.775,0.9279999999999999,0.24600000000000002,0.958,3.78,3.64,3.71,3.77,4.11,Bronx,9,25.2688179,39.78494644,27.41935539,7.526881695,34.94623566,0.4492753623188406
09X454,Science and Technology Academy: A Mott Hall School,4,4,3,4,4,3,4,4,3,4,4,0.18100000000000002,0.21,0.067,0.877,0.217,0.779,0.028999999999999998,0.289,0.6779999999999999,0.002,9.0,0.474,0.919,0.307,0.973,4.47,4.57,4.6,3.87,4.68,Bronx,9,18.05225563,36.81710052,27.31591415,17.81472778,45.13064194,0.941834451901566
09X457,Sheridan Academy for Young Leaders,2,2,2,2,4,2,3,3,2,3,2,0.201,0.273,0.128,0.934,0.256,0.862,0.01,0.281,0.6940000000000001,0.006,9.0,0.743,0.91,0.359,0.96,3.78,3.64,3.71,3.77,3.24,Bronx,9,36.48068619,34.76395035,24.89270401,3.862660885,28.75536537,0.48846960167714887
09X505,"Bronx School for Law, Government and Justice",3,3,2,2,3,3,3,3,3,3,3,0.131,0.225,0.047,0.865,0.16,0.76,0.006999999999999999,0.244,0.735,0.004,2.9,0.5,0.953,0.133,0.965,3.23,3.56,2.76,2.83,3.64,Bronx,9,15.50387573,29.84496117,32.17054367,22.48061943,54.65116119,0.9381818181818182
09X555,Mount Eden Children's Academy,4,3,3,4,4,4,4,4,4,4,4,0.235,0.18,0.087,0.894,0.138,0.7959999999999999,0.003,0.20600000000000002,0.772,0.005,1.5,0.593,0.95,0.134,0.978,4.5,4.25,4.09,4.34,4.26,Bronx,9,18.0232563,40.6976738,30.8139534,10.4651165,41.27906799,0.455026455026455
09X568,Young Women's Leadership School of the Bronx,3,4,3,3,4,4,4,4,4,4,4,0.075,0.171,0.008,0.8320000000000001,0.139,0.7140000000000001,0.024,0.33299999999999996,0.615,0.016,5.8,0.583,0.937,0.204,0.968,4.48,4.23,3.86,3.94,3.84,Bronx,9,9.909910202,31.98198128,34.68468475,23.42342377,58.10810852,0.8809523809523809
10X003,P.S. 3 Raul Julia Micro Society,3,3,3,3,4,4,4,4,4,4,4,0.138,0.225,0.052000000000000005,0.914,0.28600000000000003,0.818,0.009000000000000001,0.292,0.695,0.003,15.0,0.8079999999999999,0.9109999999999999,0.33399999999999996,0.963,4.22,3.81,3.48,3.53,3.53,Bronx,10,15.10416698,40.10416794,31.25,13.54166698,44.79166794,0.5907692307692308
10X007,Milton Fein School,4,4,3,4,4,4,4,4,4,4,4,0.22399999999999998,0.136,0.066,0.772,0.20600000000000002,0.645,0.047,0.062,0.818,0.069,1.4,0.875,0.953,0.10099999999999999,0.977,4.35,3.49,4.38,3.89,3.9,Bronx,10,23.85892105,26.76348495,30.70539474,18.67219925,49.37759399,0.6358839050131926
